RM,AGE,DIS,RAD,TAX, CLASS
4.138,100.0,1.137,24.0,666.0,C1
6.315,73.4,3.3175,5.0,296.0,C2
6.649,93.3,1.3449,24.0,666.0,C1
5.565,70.6,2.0635,24.0,666.0,C1
6.833,94.3,2.0882,24.0,666.0,C1
6.095,65.1,6.3361,6.0,300.0,C2
6.185,96.7,2.1705,24.0,666.0,C1
6.657,100.0,1.5275,24.0,666.0,C1
6.14,45.8,4.0905,5.0,398.0,C2
5.362,96.2,2.1036,24.0,666.0,C2
5.757,100.0,1.413,24.0,666.0,C1
5.454,92.7,1.8209,4.0,711.0,C1
7.014,84.6,2.1329,5.0,264.0,C2
5.706,28.4,6.6407,1.0,304.0,C1
6.014,48.5,8.0136,3.0,352.0,C1
6.193,78.1,1.9356,24.0,666.0,C1
6.02,47.2,3.5549,5.0,296.0,C2
6.266,82.8,3.2628,4.0,304.0,C2
6.004,85.9,6.5921,5.0,311.0,C1
6.411,100.0,1.8589,24.0,666.0,C1
7.007,86.3,3.4217,2.0,270.0,C2
5.531,85.4,1.6074,24.0,666.0,C1
4.88,100.0,1.5895,24.0,666.0,C1
5.786,33.3,5.1004,3.0,233.0,C1
5.701,95.0,3.7872,4.0,307.0,C1
6.456,67.8,7.2255,8.0,284.0,C2
6.487,13.0,7.3967,7.0,330.0,C2
3.561,87.9,1.6132,24.0,666.0,C2
6.854,42.8,4.2673,4.0,254.0,C2
4.628,100.0,1.5539,24.0,666.0,C1
6.066,100.0,1.7573,5.0,403.0,C2
6.122,97.3,1.618,5.0,403.0,C2
4.652,100.0,1.4672,24.0,666.0,C1
6.212,97.4,2.1222,24.0,666.0,C1
6.219,100.0,2.0048,24.0,666.0,C1
6.538,58.7,3.9175,3.0,223.0,C2
6.29,17.8,6.6115,4.0,337.0,C2
6.383,35.7,9.1876,2.0,313.0,C2
5.856,97.0,1.9444,2.0,188.0,C1
6.575,65.2,4.09,1.0,296.0,C2
5.602,62.0,6.0877,3.0,233.0,C1
6.782,41.1,3.7886,5.0,398.0,C2
6.03,85.5,5.6894,3.0,233.0,C1
6.545,99.1,1.5192,24.0,666.0,C1
5.399,95.3,5.87,3.0,233.0,C1
6.696,56.4,5.7321,5.0,370.0,C2
6.431,98.8,1.8125,4.0,437.0,C1
6.513,89.9,2.8016,24.0,666.0,C2
5.836,91.9,2.211,5.0,384.0,C1
5.731,65.2,2.7592,6.0,432.0,C1
6.333,17.2,5.2146,4.0,430.0,C2
7.412,76.9,3.6715,8.0,307.0,C2
6.012,66.6,5.5605,5.0,311.0,C2
5.468,100.0,1.4118,5.0,403.0,C1
5.924,94.1,4.3996,4.0,307.0,C1
6.442,53.6,3.6659,4.0,270.0,C2
5.617,97.9,1.4547,24.0,666.0,C1
6.718,17.5,7.8265,7.0,330.0,C2
6.655,98.2,2.3552,24.0,666.0,C1
6.77,2.9,5.7209,3.0,233.0,C2
7.274,38.3,7.309,2.0,329.0,C2
5.963,45.7,6.8147,4.0,243.0,C1
5.605,70.2,7.9549,7.0,330.0,C1
7.104,59.5,9.2229,3.0,216.0,C2
6.182,42.4,3.9454,4.0,277.0,C2
6.13,100.0,1.4191,5.0,403.0,C1
6.249,77.3,3.615,4.0,270.0,C2
6.096,84.5,4.4619,4.0,307.0,C1
6.595,21.8,5.4011,3.0,252.0,C2
5.741,66.2,7.2254,8.0,284.0,C1
6.127,85.2,2.1224,5.0,384.0,C2
6.849,70.3,3.1827,7.0,222.0,C2
8.069,76.0,3.4952,2.0,276.0,C2
5.404,100.0,1.5916,5.0,403.0,C1
5.597,94.9,1.5257,5.0,403.0,C1
7.148,27.7,5.1167,4.0,245.0,C2
6.009,82.9,6.2267,5.0,311.0,C1
6.968,91.9,1.4165,24.0,666.0,C1
7.358,71.6,4.148,8.0,307.0,C2
7.249,21.9,8.6966,5.0,226.0,C2
5.877,79.2,2.4259,5.0,403.0,C2
6.121,56.8,3.7476,3.0,247.0,C2
6.38,95.6,1.9682,24.0,666.0,C1
6.393,7.8,7.0355,6.0,300.0,C2
5.968,58.5,4.8122,5.0,224.0,C1
5.747,98.9,1.6334,24.0,666.0,C1
6.874,28.1,6.4654,5.0,370.0,C2
8.704,86.9,1.801,5.0,264.0,C2
7.185,61.1,4.9671,2.0,242.0,C2
5.599,85.7,4.4546,4.0,307.0,C1
6.251,91.1,2.2955,24.0,666.0,C1
6.976,91.0,2.1675,1.0,273.0,C2
6.794,98.8,1.358,24.0,666.0,C1
5.928,88.2,2.4631,6.0,432.0,C1
4.926,95.7,1.4608,5.0,403.0,C1
7.236,41.1,4.022,7.0,222.0,C2
6.8,9.9,6.2196,1.0,265.0,C2
6.402,95.2,2.2625,5.0,403.0,C2
5.56,62.8,1.9865,5.0,264.0,C2
5.834,56.5,4.4986,4.0,307.0,C1
6.127,18.4,5.5027,4.0,289.0,C2
6.437,75.0,2.8965,24.0,666.0,C2
6.226,79.2,8.0555,7.0,330.0,C2
7.147,54.2,6.0622,3.0,222.0,C2
5.727,69.5,3.7965,4.0,307.0,C1
5.304,97.3,2.1007,24.0,666.0,C1
5.854,91.8,2.422,5.0,403.0,C2
6.433,49.1,7.8265,7.0,330.0,C2
4.906,100.0,1.1742,24.0,666.0,C1
6.54,59.7,6.2669,1.0,422.0,C1
5.96,92.1,3.8771,4.0,277.0,C2
6.417,66.1,3.0923,2.0,270.0,C2
6.152,82.6,1.7455,5.0,403.0,C1
7.333,100.0,1.8946,5.0,264.0,C2
7.82,36.9,3.4952,2.0,276.0,C2
5.88,97.3,2.3887,5.0,403.0,C1
6.174,93.6,1.6119,4.0,437.0,C1
6.728,36.1,12.1265,5.0,187.0,C2
6.416,84.1,2.6463,5.0,296.0,C2
6.019,65.3,2.4091,6.0,391.0,C2
6.229,90.7,3.0993,24.0,666.0,C1
5.456,36.6,3.7965,4.0,307.0,C2
5.874,36.6,4.5026,5.0,398.0,C2
6.216,100.0,1.1691,24.0,666.0,C2
5.807,53.8,3.6526,4.0,277.0,C2
6.826,27.6,4.8628,4.0,254.0,C2
6.047,88.8,4.4534,4.0,307.0,C1
5.926,71.0,2.9084,24.0,666.0,C1
6.23,31.5,9.0892,1.0,241.0,C2
7.929,96.2,2.0459,5.0,403.0,C2
7.178,26.3,6.4798,5.0,398.0,C2
5.707,54.0,2.3817,6.0,391.0,C2
6.193,92.6,1.7912,24.0,666.0,C1
